 word , count 
Management,2
lot,2
work,2
atmosphere,1
relevant,1
learning,1
WA,1
Stunden,1
nur,1
inflexible,1
Ergebnisbeteiligung|,1
on|,1
Grundgehalt,1
Leasing|,1
little,1
Good,1
working,1
pay,1
advancement,1
opportunities,1
quickly,1
stagnant,1
largest,1
Nothing,1
scope,1
Gehaltssteigerung,1
Great,1
pretty,1
company,1
Work,1
sehr,1
quite,1
mention,1
job,1
ownership,1
stays,1
bit,1
selten,1
erst,1
Woche,1
projects,1
worlds,1
kind,1
room,1
're,1
und,1
learn,1
Dienstwagen,1
